name,segment,vertical_role,posture,segment_typical_coding,source
"OpenAI (GPT, o-series)",Provider,Frontier model lab,O,no,"Northflank, 2026"
Anthropic (Claude),Provider,Frontier model lab,O,no,"Northflank, 2026"
Google DeepMind (Gemini),Provider,Frontier model lab,O,no,"Northflank, 2026"
Meta (Llama),Provider,Open-weight models,O,no,"Bloomberg, 2025"
Mistral AI,Provider,Open/closed models (EU),O,no,"Bloomberg, 2025"
DeepSeek,Provider,Open-weight models,O,no,"Bloomberg, 2025"
xAI (Grok),Provider,Frontier model lab,O,no,"Northflank, 2026"
Cohere,Provider,Enterprise models,O,no,"Northflank, 2026"
AI21 Labs (Jamba),Provider,Enterprise models,O,no,"CB Insights, 2025"
Amazon (Nova / Titan),Provider,Cloud-native models,O,no,"Northflank, 2026"
Microsoft (Phi),Provider,Small/efficient models,O,no,"CB Insights, 2025"
Databricks (DBRX / Mosaic),Provider,Enterprise/open models,O,no,"CB Insights, 2025"
Alibaba (Qwen),Provider,Open-weight models,O,no,"Bloomberg, 2025"
Zhipu AI (GLM),Provider,Open-weight models,O,no,"Bloomberg, 2025"
Moonshot AI (Kimi),Provider,Frontier model lab,O,no,"Bloomberg, 2025"
Baidu (ERNIE),Provider,Frontier model lab,O,no,"Bloomberg, 2025"
Stability AI,Provider,Open image/audio models,O,no,"CB Insights, 2025"
Reka AI,Provider,Multimodal models,O,no,"CB Insights, 2025"
Aleph Alpha,Provider,Sovereign EU models,O,no,"Bloomberg, 2025"
TII (Falcon),Provider,Open-weight models,O,no,"CB Insights, 2025"
IBM (Granite),Provider,Enterprise/open models,O,no,"Northflank, 2026"
Snowflake (Arctic),Provider,Enterprise/open models,O,no,"CB Insights, 2025"
NVIDIA,Infrastructure,Compute / GPUs,O,yes,"Northflank, 2026"
AMD (Instinct),Infrastructure,Compute / GPUs,O,yes,"Northflank, 2026"
Google (TPU),Infrastructure,Compute / accelerators,O,yes,"Northflank, 2026"
AWS (Trainium / Inferentia),Infrastructure,Compute / accelerators,M,yes,"Northflank, 2026"
Cerebras,Infrastructure,Compute / inference,O,yes,"CB Insights, 2025"
Groq,Infrastructure,Inference accelerator,M,yes,"CB Insights, 2025"
SambaNova,Infrastructure,Compute / inference,O,yes,"CB Insights, 2025"
CoreWeave,Infrastructure,GPU cloud,M,yes,"CB Insights, 2025"
Lambda,Infrastructure,GPU cloud,M,yes,"CB Insights, 2025"
Crusoe,Infrastructure,GPU cloud,M,yes,"CB Insights, 2025"
Together AI,Infrastructure,Open-model inference,M,no,"Northflank, 2026"
Fireworks AI,Infrastructure,Model inference,M,no,"Northflank, 2026"
Replicate,Infrastructure,Model hosting / inference,M,no,"Merge.dev, 2025"
Baseten,Infrastructure,Model serving,M,no,"CB Insights, 2025"
Modal,Infrastructure,Serverless compute,M,yes,"CB Insights, 2025"
Anyscale (Ray),Infrastructure,Distributed compute,M,yes,"CB Insights, 2025"
OctoAI,Infrastructure,Model inference,M,no,"Merge.dev, 2025"
RunPod,Infrastructure,GPU cloud,M,yes,"Northflank, 2026"
AWS Bedrock,Infrastructure,Multi-model cloud platform,M,no,"Harvey, 2025"
Microsoft Azure AI Foundry,Infrastructure,Multi-model cloud platform,M,no,"Microsoft, 2026"
Google Vertex AI,Infrastructure,Multi-model cloud platform,M,no,"Harvey, 2025"
Oracle OCI Generative AI,Infrastructure,Multi-model cloud platform,M,yes,"Northflank, 2026"
IBM watsonx,Infrastructure,Multi-model cloud platform,M,no,"Northflank, 2026"
Snowflake Cortex,Infrastructure,In-warehouse multi-model AI,M,no,"Northflank, 2026"
Cloudflare Workers AI,Infrastructure,Edge multi-model platform,M,no,"Merge.dev, 2025"
LiteLLM,Infrastructure,Open-source model gateway,M,no,"Merge.dev, 2025"
OpenRouter,Infrastructure,Managed model router,M,no,"Merge.dev, 2025"
Portkey,Infrastructure,Enterprise AI gateway,M,no,"Portkey, 2025"
Cloudflare AI Gateway,Infrastructure,Model gateway,M,no,"Merge.dev, 2025"
Vercel AI Gateway / SDK,Infrastructure,Model gateway / SDK,M,no,"altar.io, 2026"
Kong AI Gateway,Infrastructure,API/model gateway,M,yes,"Northflank, 2026"
Martian,Infrastructure,Model router,M,no,"CB Insights, 2025"
Not Diamond,Infrastructure,Model router,M,no,"CB Insights, 2025"
Unify,Infrastructure,Model router,M,no,"Merge.dev, 2025"
TrueFoundry,Infrastructure,LLM gateway / MLOps,M,no,"TrueFoundry, 2025"
Eden AI,Infrastructure,Multi-provider API,M,no,"Merge.dev, 2025"
LangChain,Infrastructure,Orchestration framework,M,no,"Andreessen Horowitz, 2023"
LlamaIndex,Infrastructure,Data/orchestration framework,M,no,"Andreessen Horowitz, 2023"
Haystack (deepset),Infrastructure,Orchestration framework,M,yes,"CB Insights, 2025"
Microsoft Semantic Kernel,Infrastructure,Orchestration SDK,M,no,"Microsoft, 2026"
CrewAI,Infrastructure,Multi-agent framework,M,yes,"CB Insights, 2025"
AutoGen (Microsoft),Infrastructure,Multi-agent framework,M,no,"Microsoft, 2026"
DSPy (Stanford),Infrastructure,Prompt/program framework,M,yes,"Andreessen Horowitz, 2023"
Flowise,Infrastructure,Low-code agent builder,M,yes,"CB Insights, 2025"
Langflow,Infrastructure,Low-code agent builder,M,yes,"CB Insights, 2025"
Dify,Infrastructure,LLM app platform,M,no,"CB Insights, 2025"
n8n,Infrastructure,Workflow automation (AI),M,no,"CB Insights, 2025"
Pinecone,Infrastructure,Vector database,M,yes,"Andreessen Horowitz, 2023"
Weaviate,Infrastructure,Vector database,M,yes,"Andreessen Horowitz, 2023"
Chroma,Infrastructure,Vector database,M,yes,"CB Insights, 2025"
Qdrant,Infrastructure,Vector database,M,yes,"CB Insights, 2025"
Zilliz / Milvus,Infrastructure,Vector database,M,yes,"CB Insights, 2025"
Turbopuffer,Infrastructure,Vector store,M,no,"Notion, 2025"
LanceDB,Infrastructure,Vector database,M,yes,"CB Insights, 2025"
Vespa,Infrastructure,Search / retrieval engine,M,yes,"CB Insights, 2025"
MongoDB Atlas Vector,Infrastructure,Vector search,M,yes,"Northflank, 2026"
Redis (vector),Infrastructure,Vector search,M,yes,"Northflank, 2026"
LangSmith,Infrastructure,LLM observability / eval,M,no,"Andreessen Horowitz, 2023"
Langfuse,Infrastructure,LLM observability (OSS),M,no,"CB Insights, 2025"
Helicone,Infrastructure,LLM observability / gateway,M,no,"Merge.dev, 2025"
Braintrust,Infrastructure,Eval / observability,M,no,"CB Insights, 2025"
Arize (Phoenix),Infrastructure,ML/LLM observability,M,no,"CB Insights, 2025"
Weights & Biases,Infrastructure,Experiment tracking / eval,M,no,"CB Insights, 2025"
Humanloop,Infrastructure,Prompt mgmt / eval,M,no,"CB Insights, 2025"
Vellum,Infrastructure,LLM dev platform,M,no,"CB Insights, 2025"
Galileo,Infrastructure,LLM evaluation,M,no,"CB Insights, 2025"
Patronus AI,Infrastructure,LLM evaluation,M,no,"CB Insights, 2025"
Scale AI,Infrastructure,Data labeling / RLHF,M,yes,"CB Insights, 2025"
Surge AI,Infrastructure,Data labeling / RLHF,M,yes,"CB Insights, 2025"
Labelbox,Infrastructure,Data labeling,M,yes,"CB Insights, 2025"
Snorkel AI,Infrastructure,Programmatic data / tuning,M,yes,"CB Insights, 2025"
Unstructured,Infrastructure,Document ingestion (RAG),M,yes,"CB Insights, 2025"
Vectara,Infrastructure,RAG-as-a-service,M,no,"CB Insights, 2025"
Contextual AI,Infrastructure,Enterprise RAG platform,M,no,"CB Insights, 2025"
Hugging Face,Infrastructure,Open-model hub,O,yes,"Northflank, 2026"
Ollama,Infrastructure,Local model runtime,O,yes,"Northflank, 2026"
vLLM,Infrastructure,Inference serving engine,O,yes,"CB Insights, 2025"
Lakera,Infrastructure,LLM security / guardrails,M,no,"CB Insights, 2025"
Guardrails AI,Infrastructure,Output validation (OSS),M,no,"CB Insights, 2025"
Protect AI,Infrastructure,AI/ML security,M,yes,"CB Insights, 2025"
HiddenLayer,Infrastructure,AI security,M,yes,"CB Insights, 2025"
Cursor (Anysphere),AI-native,Coding assistant,M,no,"Upstarts Media, 2025"
Windsurf (Codeium),AI-native,Coding assistant,S,no,"TechCrunch, 2025"
Replit Agent,AI-native,App builder,M,no,"altar.io, 2026"
Cognition (Devin),AI-native,Autonomous coding agent,M,yes,"TechTalks, 2025"
Aider,AI-native,CLI coding assistant,M,no,"altar.io, 2026"
Continue,AI-native,Open-source coding assistant,M,no,"altar.io, 2026"
Cline,AI-native,Agentic coding (OSS),M,no,"altar.io, 2026"
Tabnine,AI-native,Coding assistant,M,no,"Wellows, 2026"
Sourcegraph Cody,AI-native,Coding assistant,M,no,"Wellows, 2026"
Augment Code,AI-native,Coding assistant,M,yes,"CB Insights, 2025"
Qodo (CodiumAI),AI-native,Code integrity / testing,M,yes,"CB Insights, 2025"
Magic.dev,AI-native,Code-generation models,O,no,"CB Insights, 2025"
Poolside,AI-native,Code-generation models,O,no,"CB Insights, 2025"
Factory AI,AI-native,Agentic software dev,M,yes,"CB Insights, 2025"
Lovable,AI-native,App builder,M,yes,"altar.io, 2026"
Bolt (StackBlitz),AI-native,App builder,M,yes,"altar.io, 2026"
