name,segment,vertical_role,posture,segment_typical_coding,indic_aipdi,source,paper_ref
"OpenAI (GPT, o-series)",Provider,Frontier model lab,O,no,10,"Northflank, 2026",[3]
Anthropic (Claude),Provider,Frontier model lab,O,no,10,"Northflank, 2026",[3]
Google DeepMind (Gemini),Provider,Frontier model lab,O,no,10,"Northflank, 2026",[3]
Meta (Llama),Provider,Open-weight models,O,no,10,"Bloomberg, 2025",[45]
Mistral AI,Provider,Open/closed models (EU),O,no,10,"Bloomberg, 2025",[45]
DeepSeek,Provider,Open-weight models,O,no,10,"Bloomberg, 2025",[45]
xAI (Grok),Provider,Frontier model lab,O,no,10,"Northflank, 2026",[3]
Cohere,Provider,Enterprise models,O,no,10,"Northflank, 2026",[3]
AI21 Labs (Jamba),Provider,Enterprise models,O,no,10,"CB Insights, 2025",[43]
Amazon (Nova / Titan),Provider,Cloud-native models,O,no,10,"Northflank, 2026",[3]
Microsoft (Phi),Provider,Small/efficient models,O,no,10,"CB Insights, 2025",[43]
Databricks (DBRX / Mosaic),Provider,Enterprise/open models,O,no,10,"CB Insights, 2025",[43]
Alibaba (Qwen),Provider,Open-weight models,O,no,10,"Bloomberg, 2025",[45]
Zhipu AI (GLM),Provider,Open-weight models,O,no,10,"Bloomberg, 2025",[45]
Moonshot AI (Kimi),Provider,Frontier model lab,O,no,10,"Bloomberg, 2025",[45]
Baidu (ERNIE),Provider,Frontier model lab,O,no,10,"Bloomberg, 2025",[45]
Stability AI,Provider,Open image/audio models,O,no,10,"CB Insights, 2025",[43]
Reka AI,Provider,Multimodal models,O,no,10,"CB Insights, 2025",[43]
Aleph Alpha,Provider,Sovereign EU models,O,no,10,"Bloomberg, 2025",[45]
TII (Falcon),Provider,Open-weight models,O,no,10,"CB Insights, 2025",[43]
IBM (Granite),Provider,Enterprise/open models,O,no,10,"Northflank, 2026",[3]
Snowflake (Arctic),Provider,Enterprise/open models,O,no,10,"CB Insights, 2025",[43]
NVIDIA,Infrastructure,Compute / GPUs,O†,yes,28,"Northflank, 2026",[3]
AMD (Instinct),Infrastructure,Compute / GPUs,O†,yes,28,"Northflank, 2026",[3]
Google (TPU),Infrastructure,Compute / accelerators,O†,yes,28,"Northflank, 2026",[3]
AWS (Trainium / Inferentia),Infrastructure,Compute / accelerators,M†,yes,35,"Northflank, 2026",[3]
Cerebras,Infrastructure,Compute / inference,O†,yes,28,"CB Insights, 2025",[43]
Groq,Infrastructure,Inference accelerator,M†,yes,35,"CB Insights, 2025",[43]
SambaNova,Infrastructure,Compute / inference,O†,yes,28,"CB Insights, 2025",[43]
